DATE,OPPONENT,RESULT,FPTS,G,P,+/-,PLUSMINUS,SOG,PPG,PPA,SHG,SHA,GW,PM,TOI,PPTOI,SHTOI,NAME,POSITION
17-Nov-22,@CLB,L 6-4,—,1,2,-1,-1,2,0,0,0,0,0,0,23:11,2:40,0:26,nick suzuki,center
15-Nov-22,vs NJ,L 5-1,-2,0,0,-2,-2,0,0,0,0,0,0,0,21:25,2:42,1:35,nick suzuki,center
12-Nov-22,vs PIT,W 5-4,5,1,2,0,0,4,0,0,0,0,0,0,22:22,4:33,1:49,nick suzuki,center
9-Nov-22,vs VAN,W 5-2,8,1,2,1,1,2,1,0,0,0,0,0,18:58,3:53,0:46,nick suzuki,center
8-Nov-22,@DET,W 3-2,—,0,0,0,0,0,0,0,0,0,0,0,22:53,1:29,4:32,nick suzuki,center
5-Nov-22,vs LV,L 6-4,8,2,2,0,0,2,1,0,0,0,0,0,22:01,0:13,1:13,nick suzuki,center
3-Nov-22,@WPG,L 3-2,6,1,2,1,1,5,0,0,0,0,0,0,21:12,1:26,3:31,nick suzuki,center
1-Nov-22,@MIN,T 0-0,4,1,1,-1,-1,1,1,0,0,0,0,0,20:20,2:29,1:51,nick suzuki,center
29-Oct-22,@STL,W 7-4,8.5,1,3,1,1,1,0,1,0,0,0,2,17:43,4:07,0:24,nick suzuki,center
27-Oct-22,@BUF,W 3-2,1,0,0,1,1,4,0,0,0,0,0,0,19:21,3:47,1:08,nick suzuki,center
25-Oct-22,vs MIN,L 3-1,-1,0,0,-1,-1,1,0,0,0,0,0,0,20:27,3:27,1:09,nick suzuki,center
22-Oct-22,vs DAL,L 5-2,2,0,1,0,0,2,0,0,0,0,0,0,18:51,2:55,0:00,nick suzuki,center
20-Oct-22,vs ARI,W 6-2,7,1,1,3,3,2,0,0,1,0,0,0,14:56,0:51,1:05,nick suzuki,center
17-Oct-22,vs PIT,W 3-2,6,1,2,1,1,8,0,1,0,0,0,0,22:44,3:25,1:36,nick suzuki,center
15-Oct-22,@WAS,L 3-1,3,1,1,0,0,2,0,0,0,0,0,0,18:17,3:49,0:58,nick suzuki,center
14-Oct-22,@DET,L 3-0,-0.5,0,0,-1,-1,0,0,0,0,0,0,2,21:30,3:36,0:40,nick suzuki,center
12-Oct-22,vs TOR,W 4-3,5,0,2,1,1,3,0,0,0,0,0,0,21:24,4:59,0:51,nick suzuki,center
17-Nov-22,@CLB,L 6-4,—,0,1,-2,-2,1,0,0,0,0,0,0,20:26,2:44,0:00,kirby dach,center
15-Nov-22,vs NJ,L 5-1,-1.5,0,0,-2,-2,1,0,0,0,0,0,2,20:28,2:47,0:00,kirby dach,center
12-Nov-22,vs PIT,W 5-4,6,0,2,2,2,0,0,1,0,0,0,0,19:38,4:48,0:00,kirby dach,center
9-Nov-22,vs VAN,W 5-2,8,2,2,2,2,4,0,0,0,0,1,0,17:16,3:48,0:00,kirby dach,center
8-Nov-22,@DET,W 3-2,—,0,0,0,0,2,0,0,0,0,0,0,17:15,1:29,0:11,kirby dach,center
5-Nov-22,vs LV,L 6-4,6,0,3,0,0,0,0,1,0,0,0,0,16:50,0:13,0:01,kirby dach,center
3-Nov-22,@WPG,L 3-2,5,1,1,2,2,1,0,0,0,0,0,0,16:16,1:23,0:13,kirby dach,center
1-Nov-22,@MIN,T 0-0,1,0,1,-1,-1,3,0,1,0,0,0,0,17:13,2:31,0:00,kirby dach,center
29-Oct-22,@STL,W 7-4,6,0,2,2,2,2,0,1,0,0,0,0,16:09,4:04,0:00,kirby dach,center
27-Oct-22,@BUF,W 3-2,-0.5,0,0,-1,-1,2,0,0,0,0,0,2,12:35,1:49,0:00,kirby dach,center
25-Oct-22,vs MIN,L 3-1,0.5,0,0,0,0,1,0,0,0,0,0,2,13:37,1:22,0:03,kirby dach,center
22-Oct-22,vs DAL,L 5-2,-0.5,0,0,-1,-1,1,0,0,0,0,0,2,14:19,3:00,0:06,kirby dach,center
20-Oct-22,vs ARI,W 6-2,2,0,1,0,0,1,0,0,0,0,0,0,14:17,1:10,0:37,kirby dach,center
17-Oct-22,vs PIT,W 3-2,5.5,1,1,0,0,2,1,0,0,0,1,2,13:22,2:56,0:00,kirby dach,center
15-Oct-22,@WAS,L 3-1,—,0,0,0,0,2,0,0,0,0,0,0,16:14,2:14,0:00,kirby dach,center
14-Oct-22,@DET,L 3-0,-1,0,0,-1,-1,2,0,0,0,0,0,0,15:58,2:44,0:04,kirby dach,center
12-Oct-22,vs TOR,W 4-3,3,0,1,1,1,1,0,0,0,0,0,0,16:38,2:00,0:06,kirby dach,center
17-Nov-22,@CLB,L 6-4,—,0,2,1,1,0,0,1,0,0,0,0,13:15,0:03,0:45,christian dvorak,center
15-Nov-22,vs NJ,L 5-1,-1,0,0,-1,-1,3,0,0,0,0,0,0,16:05,0:22,0:55,christian dvorak,center
12-Nov-22,vs PIT,W 5-4,—,0,0,0,0,0,0,0,0,0,0,0,15:07,1:42,2:20,christian dvorak,center
9-Nov-22,vs VAN,W 5-2,2,0,1,0,0,3,0,0,0,0,0,0,17:19,1:57,1:37,christian dvorak,center
8-Nov-22,@DET,W 3-2,3,0,1,1,1,0,0,0,0,0,0,0,14:34,0:31,3:49,christian dvorak,center
5-Nov-22,vs LV,L 6-4,-1,0,0,-1,-1,2,0,0,0,0,0,0,12:47,0:00,2:33,christian dvorak,center
3-Nov-22,@WPG,L 3-2,-1,0,0,-1,-1,0,0,0,0,0,0,0,15:24,0:55,1:03,christian dvorak,center
1-Nov-22,@MIN,T 0-0,-1,0,0,-1,-1,1,0,0,0,0,0,0,16:02,0:48,2:32,christian dvorak,center
29-Oct-22,@STL,W 7-4,11,3,3,2,2,3,0,0,0,0,1,0,18:12,1:05,1:09,christian dvorak,center
27-Oct-22,@BUF,W 3-2,4,0,1,2,2,1,0,0,0,0,0,0,16:21,0:32,3:22,christian dvorak,center
25-Oct-22,vs MIN,L 3-1,—,0,0,0,0,5,0,0,0,0,0,0,15:18,1:29,2:36,christian dvorak,center
22-Oct-22,vs DAL,L 5-2,—,0,0,0,0,3,0,0,0,0,0,0,15:21,2:10,1:37,christian dvorak,center
20-Oct-22,vs ARI,W 6-2,—,0,0,0,0,0,0,0,0,0,0,0,16:45,1:09,2:15,christian dvorak,center
17-Oct-22,vs PIT,W 3-2,-1,0,0,-1,-1,1,0,0,0,0,0,0,17:33,1:44,2:12,christian dvorak,center
15-Oct-22,@WAS,L 3-1,—,0,0,0,0,0,0,0,0,0,0,0,16:53,2:13,1:39,christian dvorak,center
14-Oct-22,@DET,L 3-0,-1,0,0,-1,-1,2,0,0,0,0,0,0,16:28,2:25,2:10,christian dvorak,center
12-Oct-22,vs TOR,W 4-3,-1,0,0,-1,-1,1,0,0,0,0,0,0,16:33,1:57,4:00,christian dvorak,center
17-Nov-22,@CLB,L 6-4,—,0,0,-2,-2,0,0,0,0,0,0,0,10:41,0:00,1:15,jake evans,center
15-Nov-22,vs NJ,L 5-1,-1,0,0,-1,-1,2,0,0,0,0,0,0,13:47,0:00,2:28,jake evans,center
12-Nov-22,vs PIT,W 5-4,-1,0,0,-1,-1,1,0,0,0,0,0,0,14:53,0:11,2:47,jake evans,center
9-Nov-22,vs VAN,W 5-2,—,0,0,0,0,2,0,0,0,0,0,0,14:34,0:00,2:04,jake evans,center
8-Nov-22,@DET,W 3-2,—,0,0,0,0,2,0,0,0,0,0,0,16:06,0:00,5:59,jake evans,center
5-Nov-22,vs LV,L 6-4,-1,0,0,-1,-1,1,0,0,0,0,0,0,16:03,0:00,3:41,jake evans,center
3-Nov-22,@WPG,L 3-2,—,0,0,0,0,1,0,0,0,0,0,0,11:28,0:00,2:58,jake evans,center
1-Nov-22,@MIN,T 0-0,1.75,0,0,0,0,0,0,0,0,0,0,7,13:00,0:00,1:32,jake evans,center
29-Oct-22,@STL,W 7-4,—,0,0,0,0,0,0,0,0,0,0,0,14:50,0:00,0:57,jake evans,center
27-Oct-22,@BUF,W 3-2,—,0,0,0,0,0,0,0,0,0,0,0,16:12,0:00,4:03,jake evans,center
25-Oct-22,vs MIN,L 3-1,-1,0,0,-1,-1,4,0,0,0,0,0,0,12:54,0:00,1:35,jake evans,center
22-Oct-22,vs DAL,L 5-2,2,0,1,0,0,3,0,0,0,0,0,0,14:18,0:00,1:01,jake evans,center
20-Oct-22,vs ARI,W 6-2,1,0,0,1,1,0,0,0,0,0,0,0,15:51,0:00,2:56,jake evans,center
17-Oct-22,vs PIT,W 3-2,—,0,0,0,0,2,0,0,0,0,0,0,13:59,0:02,3:08,jake evans,center
15-Oct-22,@WAS,L 3-1,—,0,0,0,0,1,0,0,0,0,0,0,11:56,0:00,1:09,jake evans,center
14-Oct-22,@DET,L 3-0,-1,0,0,-1,-1,0,0,0,0,0,0,0,13:53,0:08,3:08,jake evans,center
12-Oct-22,vs TOR,W 4-3,—,0,0,0,0,0,0,0,0,0,0,0,9:09,0:00,2:11,jake evans,center
17-Nov-22,@CLB,L 6-4,—,0,1,0,0,0,0,0,0,0,0,0,17:23,2:59,0:00,mike hoffman,center
15-Nov-22,vs NJ,L 5-1,-1,0,0,-1,-1,1,0,0,0,0,0,0,16:21,1:52,0:04,mike hoffman,center
12-Nov-22,vs PIT,W 5-4,4,1,1,1,1,4,0,0,0,0,1,0,14:23,3:31,0:00,mike hoffman,center
9-Nov-22,vs VAN,W 5-2,4,1,1,1,1,3,0,0,0,0,0,0,16:56,2:20,0:08,mike hoffman,center
8-Nov-22,@DET,W 3-2,7.5,2,2,1,1,5,0,0,0,0,0,2,13:09,0:31,0:00,mike hoffman,center
5-Nov-22,vs LV,L 6-4,—,0,0,0,0,3,0,0,0,0,0,0,11:31,0:00,0:59,mike hoffman,center
29-Oct-22,@STL,W 7-4,0.5,0,0,0,0,3,0,0,0,0,0,2,16:15,4:05,0:00,mike hoffman,center
27-Oct-22,@BUF,W 3-2,1.5,0,0,1,1,1,0,0,0,0,0,2,15:40,3:14,0:00,mike hoffman,center
25-Oct-22,vs MIN,L 3-1,-2,0,0,-2,-2,4,0,0,0,0,0,0,10:45,1:23,0:00,mike hoffman,center
22-Oct-22,vs DAL,L 5-2,4,1,1,1,1,5,0,0,0,0,0,0,14:00,2:46,0:00,mike hoffman,center
20-Oct-22,vs ARI,W 6-2,1,0,0,1,1,1,0,0,0,0,0,0,12:08,1:08,0:00,mike hoffman,center
17-Oct-22,vs PIT,W 3-2,2,0,1,0,0,2,0,0,0,0,0,0,11:38,1:39,0:00,mike hoffman,center
